web-scraper-order,web-scraper-start-url,links,links-href,Business_Name,Phone_Num,Address,Listed_In
"1712330046-1","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Udayashree Megharaj Sweets","http://yellowpages.in/b/udayashree-megharaj-sweet-shop-narayanguda-hyderabad/315572672","Udayashree Megharaj Sweets","+91 9849533129","Narayanguda
 Hyderabad - 500029","Food & Beverages"
"1712330046-2","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Udayashree Megharaj Sweets","http://yellowpages.in/b/udayashree-megharaj-sweet-shop-narayanguda-hyderabad/315572672","Udayashree Megharaj Sweets","+91 9849533129","Narayanguda
 Hyderabad - 500029","Food Stores"
"1712330046-3","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Udayashree Megharaj Sweets","http://yellowpages.in/b/udayashree-megharaj-sweet-shop-narayanguda-hyderabad/315572672","Udayashree Megharaj Sweets","+91 9849533129","Narayanguda
 Hyderabad - 500029","Sweet Shops"
"1712330056-4","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Venkat Sai Dry Fruits & Spices","http://yellowpages.in/b/venkat-sai-dry-fruits-spices-kukatpally-hyderabad/163946638","Venkat Sai Dry Fruits & Spices","+91 9441070572","Kukatpally
 Hyderabad - 500072","Food & Beverages"
"1712330056-5","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Venkat Sai Dry Fruits & Spices","http://yellowpages.in/b/venkat-sai-dry-fruits-spices-kukatpally-hyderabad/163946638","Venkat Sai Dry Fruits & Spices","+91 9441070572","Kukatpally
 Hyderabad - 500072","Dry Fruits"
"1712330067-6","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Srinidhi Dry Fruits & Spices","http://yellowpages.in/b/srinidhi-dry-fruits-spices-kukatpally-hyderabad/345756835","Srinidhi Dry Fruits & Spices","+91 9030906039","Kukatpally
 Hyderabad - 500072","Food & Beverages"
"1712330067-7","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Srinidhi Dry Fruits & Spices","http://yellowpages.in/b/srinidhi-dry-fruits-spices-kukatpally-hyderabad/345756835","Srinidhi Dry Fruits & Spices","+91 9030906039","Kukatpally
 Hyderabad - 500072","Dry Fruits"
"1712330077-8","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Kirana Ghar","http://yellowpages.in/b/kirana-ghar-punjagutta-hyderabad/493290284","Kirana Ghar","+91 9030788504","Punjagutta
 Hyderabad - 500082","Food & Beverages"
"1712330077-9","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Kirana Ghar","http://yellowpages.in/b/kirana-ghar-punjagutta-hyderabad/493290284","Kirana Ghar","+91 9030788504","Punjagutta
 Hyderabad - 500082","Food Stores"
"1712330077-10","http://yellowpages.in/hyderabad/food-and-beverages/606286653","Kirana Ghar","http://yellowpages.in/b/kirana-ghar-punjagutta-hyderabad/493290284","Kirana Ghar","+91 9030788504","Punjagutta
 Hyderabad - 500082","Groceries"
